#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       1.062546795572e+02       2.739294563053e-04      -1.346583229564e+00       3.065132781965e-05       1.923594453986e-06       4.808986134964e-06       1.714646069560e-10       9.617972269928e-07      -1.009937422368e+00       3.065134670463e-05       5.966376770058e-01       6.639036795988e-01      -1.346582736895e+00       3.063097841323e-05       4.394387105798e-04      -1.009937896920e+00       3.067630717258e-05 
       1.083088453614e+02       2.801062726963e-04      -1.347284438991e+00       3.118588794061e-05       2.045823184721e-06       5.114557961801e-06       1.906765775924e-10       1.022911592360e-06      -1.010463329481e+00       3.118590958192e-05       5.969303801011e-01       6.637495478760e-01      -1.347283888851e+00       3.116426156231e-05       4.563568865152e-04      -1.010463856685e+00       3.121222092331e-05 
       1.110221308405e+02       2.883162696296e-04      -1.348323928052e+00       3.189229856679e-05       2.215770034059e-06       5.539425085147e-06       2.187997365266e-10       1.107885017029e-06      -1.011242946341e+00       3.189232424822e-05       5.972864555277e-01       6.635182004424e-01      -1.348323296500e+00       3.186890094895e-05       4.791506766288e-04      -1.011243547428e+00       3.192048541839e-05 
       1.137354163196e+02       2.965845758948e-04      -1.349476228241e+00       3.259892478631e-05       2.395714227503e-06       5.989285568756e-06       2.503320540263e-10       1.197857113751e-06      -1.012107171558e+00       3.259895499820e-05       5.976110856187e-01       6.632592892345e-01      -1.349475508690e+00       3.257365701200e-05       5.024534484102e-04      -1.012107851648e+00       3.262904113333e-05 
       1.164487017988e+02       3.049111914918e-04      -1.350726039235e+00       3.330561610045e-05       2.586014507807e-06       6.465036269519e-06       2.856032928426e-10       1.293007253904e-06      -1.013044529892e+00       3.330565137418e-05       5.979074710611e-01       6.629766394581e-01      -1.350725224737e+00       3.327837628786e-05       5.262651856973e-04      -1.013045294312e+00       3.333773820615e-05 
       1.191619872779e+02       3.132961164206e-04      -1.352060115210e+00       3.401223986060e-05       2.787038487358e-06       6.967596218396e-06       3.249685162331e-10       1.393519243679e-06      -1.014045086976e+00       3.401228077087e-05       5.981784269130e-01       6.626735625673e-01      -1.352059198441e+00       3.398292314078e-05       5.505857668069e-04      -1.014045941258e+00       3.404644459065e-05 
       1.218752727570e+02       3.217393506812e-04      -1.353466959100e+00       3.471867900825e-05       2.999167764410e-06       7.497919411026e-06       3.688110345717e-10       1.499583882205e-06      -1.015100220013e+00       3.471872617563e-05       5.984264347893e-01       6.623529327132e-01      -1.353465932353e+00       3.468717750403e-05       5.754149765838e-04      -1.015101169895e+00       3.475504379704e-05 
       1.245885582362e+02       3.302408942736e-04      -1.354936566636e+00       3.542483011749e-05       3.222810820359e-06       8.057027050896e-06       4.175481446382e-10       1.611405410179e-06      -1.016202425803e+00       3.542488421133e-05       5.986536858067e-01       6.620172507483e-01      -1.354935421807e+00       3.539103292335e-05       6.007525170782e-04      -1.016203477234e+00       3.546343293516e-05 
       1.273018437153e+02       3.388007471979e-04      -1.356460211916e+00       3.613060171085e-05       3.458435636662e-06       8.646089091655e-06       4.716442621017e-10       1.729217818331e-06      -1.017345159920e+00       3.613066345315e-05       5.988621137054e-01       6.616686978455e-01      -1.356458940494e+00       3.609439487402e-05       6.265980168322e-04      -1.017346319059e+00       3.617152103120e-05 
       1.308767033419e+02       3.501677101226e-04      -1.358537426040e+00       3.705976848315e-05       3.788246581065e-06       9.470616452663e-06       5.520379284320e-10       1.894123290533e-06      -1.018903070753e+00       3.705984150628e-05       5.991108209781e-01       6.611930019514e-01      -1.358535974128e+00       3.702020769747e-05       6.614252402598e-04      -1.018904381563e+00       3.710386048900e-05 
